cpt_code,par_amount,state
11201,17.71,
11201,15.79,
11300,92.68,
11300,33.26,
11301,113,
11301,50.37,
11302,130.63,
11302,59.01,
11303,144.12,
11303,69.61,
11305,97.98,
11305,38.24,
11306,114.85,
11306,49,
11307,134.44,
11307,63.14,
11308,144.31,
11308,71.72,
11310,107.47,
11310,44.83,
11311,127.94,
11311,61.45,
11312,148.02,
11312,72.86,
11313,173.17,
11313,94.48,
11400,116.55,
11400,76.72,
11401,142.5,
11401,97.85,
11402,157.97,
11402,107.87,
11403,182.23,
11403,138.87,
11404,206.63,
11404,152.67,
11406,295.46,
11406,231.86,
11420,118.03,
11420,77.56,
11421,148.89,
11421,103.6,
11422,167.27,
11422,127.76,
11423,190.49,
11423,146.81,
11424,219.68,
11424,168.29,
11426,315.1,
11426,259.21,
11440,129.99,
11440,96.91,
11441,159.9,
11441,122.96,
11442,177.75,
11442,136.31,
11443,211.54,
11443,167.54,
11444,265.44,
11444,214.05,
11446,366.41,
11446,306.03,
11450,376.86,
11450,238.42,
11451,470.62,
11451,305.84,
11462,367.1,
11462,227.38,
11463,478.49,
11463,308.26,
11470,401.27,
11470,264.12,
11471,489.79,
11471,327.26,
11600,183.43,
11600,114.38,
11601,213.79,
11601,140.56,
11602,230.65,
11602,153.88,
11603,263.23,
11603,184.22,
11604,293.11,
11604,202.85,
11606,419.24,
11606,301.68,
11620,184.28,
11620,115.55,
11621,214.64,
11621,141.41,
11622,238.28,
11622,161.2,
11623,280.01,
11623,200.03,
11624,316.79,
11624,226.86,
11626,381.44,
11626,278.01,
11640,188.73,
11640,118.71,
11641,222.24,
11641,147.4,
11642,252.48,
11642,173.15,
11643,297.82,
11643,217.2,
11644,367.1,
11644,269.46,
11646,478.85,
11646,373.17,
11719,13.37,
11719,7.59,
11720,30.68,
11720,14.3,
11721,42.81,
11721,24.5,
11730,103.64,
11730,53.21,
11732,31.56,
11732,17.11,
11740,49.83,
11740,29.92,
11750,147.36,
11750,97.9,
11755,115.03,
11755,60.75,
11760,181.51,
11760,108.92,
11762,277.84,
11762,182.77,
11765,157.63,
11765,88.26,
11770,288.46,
11770,173.47,
11771,558.62,
11771,412.47,
11772,677.33,
11772,540.18,
11900,51.4,
11900,29.24,
11901,65.07,
11901,45.48,
11920,173.28,
11920,105.83,
11921,197.72,
11921,124.81,
11922,55.49,
11922,28.18,
11950,73.93,
11950,49.84,
11951,99.95,
11951,70.4,
11952,134.75,
11952,99.42,
11954,148.25,
11954,108.1,
11960,917.44,
11970,575.92,
11971,446.6,
11971,303.35,
11976,136.06,
11976,90.45,
11980,88.77,
11980,54.08,
11981,96.22,
11981,60.89,
11982,109.4,
11982,71.82,
11983,136.11,
11983,99.5,
12001,83.9,
12001,42.78,
12002,102.64,
12002,56.71,
12004,120.09,
12004,70.62,
12005,158.72,
12005,91.91,
12006,187.43,
12006,112.59,
12007,214.56,
12007,139.08,
12011,102.2,
12011,53.37,
12013,106.83,
12013,56.4,
12014,130.1,
12014,72.28,
12015,157.48,
12015,91.31,
12016,200.5,
12016,123.74,
12017,146.83,
12018,166.28,
12020,274.12,
12020,178.4,
12021,159.97,
12021,131.38,
12031,234.24,
12031,143.98,
12032,281.76,
12032,181.23,
12034,302.27,
12034,195.31,
12035,358.64,
12035,227.27,
12036,400.24,
12036,265.65,
12037,454.17,
12037,310.27,
12041,235.13,
12041,139.73,
12042,280.61,
12042,187.47,
12044,346.06,
12044,203.45,
12045,378.6,
12045,254.3,
12046,452.36,
12046,292.73,
12047,496.66,
12047,326.42,
12051,253.23,
12051,160.73,
12052,284.95,
12052,190.84,
12053,332.62,
12053,205.42,
12054,349.92,
12054,209.55,
12055,452.83,
12055,283.88,
12056,531.73,
12056,363.43,
12057,565.6,
12057,402.11,
13100,318.73,
13100,193.14,
13101,374.38,
13101,237.23,
13102,112.33,
13102,69.61,
13120,332.67,
13120,221.54,
13121,402.41,
13121,250.17,
13122,122.92,
13122,80.53,
13131,365.05,
13131,234.32,
13132,447.64,
13132,294.11,
13133,164.5,
13133,123.06,
13151,399,
13151,269.24,
13152,473.52,
13152,325.13,
13153,179.27,
13153,133.34,
13160,754.56,
14000,584.07,
14000,468.76,
14001,744.96,
14001,608.13,
14020,650.34,
14020,529.89,
14021,671.23,
14021,810.63,
14040,711.11,
14040,591.31,
14041,871.23,
14041,726.37,
14060,724.08,
14060,630.93,
14061,936.96,
14061,777.97,
14301,"1,012.84",
14301,824.94,
14302,207.95,
14350,659.6,
15002,327.13,
15002,211.82,
15003,67.53,
15003,43.11,
15004,376.1,
15004,254.37,
15005,113.85,
15005,86.87,
15040,241.72,
15040,117.42,
15050,546.15,
15050,427.95,
15100,808.25,
15100,671.74,
15101,174.89,
15101,105.52,
15110,756.5,
15110,654.36,
15111,107.69,
15111,97.73,
15115,755.18,
15115,654,
15116,157.66,
15116,144.17,
15120,797.98,
15120,656.33,
15121,196.27,
15121,127.21,
15130,672.23,
15130,560.13,
15131,93.67,
15131,86.92,
15135,822.66,
15135,717.63,
15136,92.7,
15136,86.92,
15150,654.25,
15150,594.51,
15151,111.86,
15151,103.51,
15152,145.51,
15152,137.48,
15155,753.26,
15155,692.88,
15156,149.96,
15156,141.93,
15157,167.39,
15157,155.5,
15200,782.2,
15200,633.16,
15201,136.3,
15201,73.99,
15220,721.04,
15220,576.5,
15221,125.79,
15221,67.01,
15240,872.86,
15240,751.13,
15241,169.46,
15241,104.26,
15260,942.4,
15260,803.65,
15261,196.64,
15261,131.43,
15271,140.21,
15271,81.11,
15272,24.48,
15272,16.77,
15273,291.04,
15273,191.15,
15274,73.31,
15274,43.11,
15275,148.24,
15275,92.67,
15276,32.23,
15276,24.84,
15277,319.57,
15277,217.11,
15278,86.5,
15278,54.38,
15570,854.12,
15570,691.91,
15572,826.82,
15572,697.38,
15574,845.12,
15574,712.46,
15576,750.24,
15576,627.54,
15600,306.77,
15600,194.03,
15610,333.75,
15610,224.54,
15620,410.99,
15620,303.71,
15630,427.53,
15630,321.86,
15650,473.77,
15650,358.46,
15730,"1,406.08",
15730,873.85,
15731,"1,055.83",
15731,945.98,
15733,989.01,
15734,"1,419.64",
15736,"1,152.58",
15738,"1,223.71",
15740,940.9,
15740,791.86,
15750,865.45,
15756,"2,178.94",
15757,"2,169.24",
15758,"2,180.81",
15760,794.53,
15760,664.12,
15769,454.17,
15770,627.62,
15771,540.62,
15771,451,
15772,170.98,
15772,134.04,
15773,545.83,
15773,456.22,
15774,165.94,
15774,129.01,
15775,345.85,
15775,244.35,
15776,474.22,
15776,335.46,
15777,205.4,
15780,831.93,
15780,643.71,
15781,511.1,
15781,403.18,
15782,504.21,
15782,372.52,
15783,435.03,
15783,340.6,
15786,225.69,
15786,128.69,
15787,37.94,
15787,17.06,
15788,397.93,
15788,214.53,
15789,503.35,
15789,383.54,
15792,356.54,
15792,215.85,
15793,444.61,
15793,329.62,
15819,750.84,
15820,538.97,
15820,483.72,
15821,577.15,
15821,516.44,
15822,425.17,
15822,370.88,
15823,578.44,
15823,517.41,
15830,"1,109.39",
15832,868,
15833,825.64,
15834,841.7,
15835,882.95,
15836,706.48,
15837,811.87,
15837,677.93,
15838,605.79,
15839,829.6,
15839,694.7,
15840,955.37,
15841,"1,689.49",
15842,"2,574.65",
15845,962.6,
15851,96.14,
15851,44.11,
15852,44.46,
15860,102.9,
15920,585,
15922,745.56,
15931,653.25,
15933,809.38,
15934,888.91,
15935,"1,086.92",
15936,846.66,
15937,982.83,
15940,658.99,
15941,861.14,
15944,857.04,
15945,958.49,
15946,"1,537.86",
15950,571.52,
15951,840.39,
15952,860.58,
15953,947.62,
15956,"1,099.35",
15958,"1,113.48",
16000,68.82,
16000,44.41,
16020,76.61,
16020,51.23,
16025,143.61,
16025,104.74,
16030,180.51,
16030,125.91,
16035,189.64,
16036,77.77,
17000,60.92,
17000,50.64,
17003,5.62,
17003,2.09,
17004,147.49,
17004,93.21,
17106,320.7,
17106,260.32,
17107,418.68,
17107,336.45,
17108,599.16,
17108,498.63,
17110,103.37,
17110,62.9,
17111,121.95,
17111,77.63,
17250,78.33,
17250,34.97,
17260,90.44,
17260,66.67,
17261,135.81,
17261,83.13,
17262,165.08,
17262,106.63,
17263,118.56,
17263,179.59,
17264,192.56,
17264,126.71,
17266,219.72,
17266,149.37,
17270,138.99,
17270,91.45,
17271,153.47,
17271,101.12,
17272,175.33,
17272,117.52,
17273,195.26,
17273,133.27,
17274,230.36,
17274,163.23,
17276,267.34,
17276,196.36,
17280,129.7,
17280,82.81,
17281,167.09,
17281,114.1,
17282,192.01,
17282,132.58,
17283,229.44,
17283,166.16,
17284,261.68,
17284,194.23,
17286,337.54,
17286,263.02,
17311,620.99,
17311,350.22,
17312,371.29,
17312,186.6,
17313,581.31,
17313,314.08,
17314,354.74,
17314,172.94,
17315,73.38,
17315,49.29,
17340,49.85,
17340,46.96,
17360,116.86,
17360,89.56,
19000,101.54,
19000,42.11,
19001,25.95,
19001,21.13,
19020,436.88,
19020,288.81,
19030,158.08,
19030,75.53,
19081,565.1,
19081,162.96,
19082,453.12,
19082,81.82,
19083,558.56,
19083,153.85,
19084,440.98,
19084,76.42,
19085,850.73,
19085,179.43,
19086,673.64,
19086,89.7,
19100,141.76,
19100,65.95,
19101,310.44,
19101,208.62,
19105,"2,494.74",
19105,198.18,
19110,451.48,
19110,323,
19112,425.12,
19112,294.07,
19120,468.51,
19120,387.57,
19125,517.33,
19125,429.96,
19126,151.5,
19281,229.35,
19281,98.63,
19282,160.62,
19282,49.48,
19283,253.63,
19283,99.13,
19284,191.63,
19284,49.98,
19285,421.2,
19285,84.27,
19286,357.88,
19286,42.46,
19287,716.59,
19287,126.23,
19288,568.06,
19288,63.45,
19294,155.34,
19296,"3,670.53",
19296,197.75,
19297,89.34,
19298,925.13,
19298,306.83,
19300,511.39,
19300,393.19,
19301,615.21,
19302,845.42,
19303,898.72,
19305,"1,066.61",
19306,"1,131.41",
19307,"1,128.73",
19316,730.72,
19318,"1,038.35",
19324,503.36,
19325,611.25,
19328,471.07,
19330,598.19,
19340,933.7,
19342,876.18,
19350,776.51,
19350,635.5,
19355,709.69,
19355,585.38,
19357,"1,416.36",
19361,"1,488.94",
19364,"2,613.39",
19366,"1,318.82",
19367,"1,686.92",
19368,"2,083.99",
19369,"1,934.82",
19370,650.85,
19371,744.15,
19380,734.61,
19396,266,
19396,136.88,
20100,570.67,
20101,441.04,
20101,196.61,
20102,475.41,
20102,240.61,
20103,538.66,
20103,327.96,
20150,946.91,
20200,195.38,
20200,88.1,
20205,272.16,
20205,142.72,
20206,219.68,
20206,56.19,
20220,230.67,
20220,86.46,
20225,389.06,
20225,128.25,
20240,140.67,
20245,332.35,
20250,364.29,
20251,395.42,
20500,107.47,
20500,83.06,
20501,127.38,
20501,37.12,
20520,196.92,
20520,138.78,
20525,441.35,
20525,232.89,
20526,73.54,
20526,54.27,
20527,79.25,
20527,62.23,
20550,51.7,
20550,37.89,
20551,52.99,
20551,38.53,
20552,52.31,
20552,36.89,
20553,60.05,
20553,41.74,
20555,318.01,
20600,47.49,
20600,34.64,
20604,71.85,
20604,44.55,
20605,49.17,
20605,36.01,
20606,79.37,
20606,51.1,
20610,58.14,
20610,43.69,
20611,88.45,
20611,57.94,
20612,57.93,
20612,39.62,
20615,233,
20615,152.7,
20650,199.42,
20650,149.96,
20660,223.04,
20661,459,
20662,481.33,
20663,442.41,
20664,786.7,
20665,106.48,
20665,90.1,
20670,341.02,
20670,137.06,
20680,573.27,
20680,397.9,
20690,562.59,
20692,"1,058.37",
20693,418.99,
20694,398.62,
20694,317.36,
20696,"1,123.95",
20697,"1,856.38",
20700,80.18,
20701,60.02,
20702,133.26,
20703,95.85,
20704,138.81,
20705,114.47,
20802,"2,594.09",
20805,"3,088.92",
20808,"3,735.25",
20816,"1,943.06",
20822,"1,670.32",
20824,"1,946.27",
20827,"1,716.09",
20838,"2,629.53",
20900,377.94,
20900,175.27,
20902,267.06,
20910,438.81,
20912,449,
20920,370.57,
20922,554.26,
20922,455.33,
20924,476.71,
20931,102.31,
20932,683.07,
20933,627.49,
20934,682.71,
20937,156.09,
20938,169.98,
20939,65.04,
20950,240.12,
20950,83.69,
20955,"2,347.76",
20956,"2,495.83",
20957,"2,596.62",
20962,"2,505.90",
20969,"2,605.51",
20970,"2,695.95",
20972,"2,689.06",
20973,"2,840.91",
20974,72.75,
20974,46.73,
20975,164.94,
20979,50.22,
20979,30.95,
20982,"3,520.17",
20982,354.45,
20983,"5,240.30",
20983,339.15,
20985,138.58,
21010,718.4,
21011,336.47,
21011,241.07,
21012,316.49,
21013,495.26,
21013,378.34,
21014,490.27,
21015,664.82,
